Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,RoundNumber,EventName
0 days 01:04:15.961000,1,,1,0 days 00:21:57.509000,,,0 days 00:00:42.414000,0 days 00:00:23.842000,,0 days 01:03:52.119000,0 days 01:04:16.010000,232,231,278,252,FALSE,SOFT,4,FALSE,1,0 days 01:02:36.652000,Red Bull Racing,VER,2,FALSE,03:38.5,1,Bahrain Grand Prix
0 days 01:05:53.935000,1,0 days 00:01:37.974000,2,,,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,0 days 01:04:47.303000,0 days 01:05:29.807000,0 days 01:05:53.935000,227,238,278,288,FALSE,SOFT,5,FALSE,1,0 days 01:04:15.961000,Red Bull Racing,VER,2,TRUE,05:17.8,1,Bahrain Grand Prix
0 days 01:07:31.941000,1,0 days 00:01:38.006000,3,,,0 days 00:00:31.388000,0 days 00:00:42.469000,0 days 00:00:24.149000,0 days 01:06:25.323000,0 days 01:07:07.792000,0 days 01:07:31.941000,,238,278,287,FALSE,SOFT,6,FALSE,1,0 days 01:05:53.935000,Red Bull Racing,VER,1,TRUE,06:55.8,1,Bahrain Grand Prix
0 days 01:09:09.917000,1,0 days 00:01:37.976000,4,,,0 days 00:00:31.271000,0 days 00:00:42.642000,0 days 00:00:24.063000,0 days 01:08:03.212000,0 days 01:08:45.854000,0 days 01:09:09.917000,228,238,278,289,FALSE,SOFT,7,FALSE,1,0 days 01:07:31.941000,Red Bull Racing,VER,1,TRUE,08:33.8,1,Bahrain Grand Prix
0 days 01:10:47.952000,1,0 days 00:01:38.035000,5,,,0 days 00:00:31.244000,0 days 00:00:42.724000,0 days 00:00:24.067000,0 days 01:09:41.161000,0 days 01:10:23.885000,0 days 01:10:47.952000,,239,278,290,FALSE,SOFT,8,FALSE,1,0 days 01:09:09.917000,Red Bull Racing,VER,1,TRUE,10:11.8,1,Bahrain Grand Prix
0 days 01:12:25.938000,1,0 days 00:01:37.986000,6,,,0 days 00:00:31.341000,0 days 00:00:42.632000,0 days 00:00:24.013000,0 days 01:11:19.293000,0 days 01:12:01.925000,0 days 01:12:25.938000,229,239,279,291,FALSE,SOFT,9,FALSE,1,0 days 01:10:47.952000,Red Bull Racing,VER,1,TRUE,11:49.8,1,Bahrain Grand Prix
0 days 01:14:03.959000,1,0 days 00:01:38.021000,7,,,0 days 00:00:31.290000,0 days 00:00:42.763000,0 days 00:00:23.968000,0 days 01:12:57.228000,0 days 01:13:39.991000,0 days 01:14:03.959000,230,239,279,293,FALSE,SOFT,10,FALSE,1,0 days 01:12:25.938000,Red Bull Racing,VER,1,TRUE,13:27.8,1,Bahrain Grand Prix
0 days 01:15:42.113000,1,0 days 00:01:38.154000,8,,,0 days 00:00:31.291000,0 days 00:00:42.833000,0 days 00:00:24.030000,0 days 01:14:35.250000,0 days 01:15:18.083000,0 days 01:15:42.113000,,240,279,,FALSE,SOFT,11,FALSE,1,0 days 01:14:03.959000,Red Bull Racing,VER,1,TRUE,15:05.8,1,Bahrain Grand Prix
0 days 01:17:20.391000,1,0 days 00:01:38.278000,9,,,0 days 00:00:31.336000,0 days 00:00:42.823000,0 days 00:00:24.119000,0 days 01:16:13.449000,0 days 01:16:56.272000,0 days 01:17:20.391000,229,242,279,,FALSE,SOFT,12,FALSE,1,0 days 01:15:42.113000,Red Bull Racing,VER,1,TRUE,16:44.0,1,Bahrain Grand Prix
0 days 01:18:58.760000,1,0 days 00:01:38.369000,10,,,0 days 00:00:31.361000,0 days 00:00:42.884000,0 days 00:00:24.124000,0 days 01:17:51.752000,0 days 01:18:34.636000,0 days 01:18:58.760000,230,242,279,,FALSE,SOFT,13,FALSE,1,0 days 01:17:20.391000,Red Bull Racing,VER,1,TRUE,18:22.2,1,Bahrain Grand Prix
0 days 01:20:37.243000,1,0 days 00:01:38.483000,11,,,0 days 00:00:31.342000,0 days 00:00:42.978000,0 days 00:00:24.163000,0 days 01:19:30.102000,0 days 01:20:13.080000,0 days 01:20:37.243000,,239,278,292,FALSE,SOFT,14,FALSE,1,0 days 01:18:58.760000,Red Bull Racing,VER,1,TRUE,20:00.6,1,Bahrain Grand Prix
0 days 01:22:15.834000,1,0 days 00:01:38.591000,12,,,0 days 00:00:31.408000,0 days 00:00:42.951000,0 days 00:00:24.232000,0 days 01:21:08.651000,0 days 01:21:51.602000,0 days 01:22:15.834000,231,241,278,294,FALSE,SOFT,15,FALSE,1,0 days 01:20:37.243000,Red Bull Racing,VER,1,TRUE,21:39.1,1,Bahrain Grand Prix
0 days 01:23:54.316000,1,0 days 00:01:38.482000,13,,,0 days 00:00:31.389000,0 days 00:00:42.907000,0 days 00:00:24.186000,0 days 01:22:47.223000,0 days 01:23:30.130000,0 days 01:23:54.316000,230,241,278,292,FALSE,SOFT,16,FALSE,1,0 days 01:22:15.834000,Red Bull Racing,VER,1,TRUE,23:17.7,1,Bahrain Grand Prix
0 days 01:25:35.611000,1,0 days 00:01:41.295000,14,,0 days 01:25:33.830000,0 days 00:00:31.427000,0 days 00:00:42.876000,0 days 00:00:26.992000,0 days 01:24:25.743000,0 days 01:25:08.619000,0 days 01:25:35.611000,229,241,,,FALSE,SOFT,17,FALSE,1,0 days 01:23:54.316000,Red Bull Racing,VER,1,FALSE,24:56.2,1,Bahrain Grand Prix
0 days 01:27:33.989000,1,0 days 00:01:58.378000,15,0 days 01:25:58.127000,,0 days 00:00:51.854000,0 days 00:00:42.629000,0 days 00:00:23.895000,0 days 01:26:27.465000,0 days 01:27:10.094000,0 days 01:27:33.989000,230,237,279,218,FALSE,SOFT,1,FALSE,2,0 days 01:25:35.611000,Red Bull Racing,VER,1,FALSE,26:37.5,1,Bahrain Grand Prix
0 days 01:29:11.790000,1,0 days 00:01:37.801000,16,,,0 days 00:00:31.209000,0 days 00:00:42.711000,0 days 00:00:23.881000,0 days 01:28:05.198000,0 days 01:28:47.909000,0 days 01:29:11.790000,231,236,280,287,FALSE,SOFT,2,FALSE,2,0 days 01:27:33.989000,Red Bull Racing,VER,1,TRUE,28:35.8,1,Bahrain Grand Prix
0 days 01:30:49.438000,1,0 days 00:01:37.648000,17,,,0 days 00:00:31.170000,0 days 00:00:42.623000,0 days 00:00:23.855000,0 days 01:29:42.960000,0 days 01:30:25.583000,0 days 01:30:49.438000,232,237,280,293,FALSE,SOFT,3,FALSE,2,0 days 01:29:11.790000,Red Bull Racing,VER,1,TRUE,30:13.6,1,Bahrain Grand Prix
0 days 01:32:27.052000,1,0 days 00:01:37.614000,18,,,0 days 00:00:31.211000,0 days 00:00:42.569000,0 days 00:00:23.834000,0 days 01:31:20.649000,0 days 01:32:03.218000,0 days 01:32:27.052000,,239,280,286,FALSE,SOFT,4,FALSE,2,0 days 01:30:49.438000,Red Bull Racing,VER,1,TRUE,31:51.3,1,Bahrain Grand Prix
0 days 01:34:04.764000,1,0 days 00:01:37.712000,19,,,0 days 00:00:31.243000,0 days 00:00:42.608000,0 days 00:00:23.861000,0 days 01:32:58.295000,0 days 01:33:40.903000,0 days 01:34:04.764000,,243,280,289,FALSE,SOFT,5,FALSE,2,0 days 01:32:27.052000,Red Bull Racing,VER,1,TRUE,33:28.9,1,Bahrain Grand Prix
0 days 01:35:42.552000,1,0 days 00:01:37.788000,20,,,0 days 00:00:31.186000,0 days 00:00:42.766000,0 days 00:00:23.836000,0 days 01:34:35.950000,0 days 01:35:18.716000,0 days 01:35:42.552000,230,237,280,291,FALSE,SOFT,6,FALSE,2,0 days 01:34:04.764000,Red Bull Racing,VER,1,TRUE,35:06.6,1,Bahrain Grand Prix
0 days 01:37:20.134000,1,0 days 00:01:37.582000,21,,,0 days 00:00:31.168000,0 days 00:00:42.572000,0 days 00:00:23.842000,0 days 01:36:13.720000,0 days 01:36:56.292000,0 days 01:37:20.134000,232,239,280,293,FALSE,SOFT,7,FALSE,2,0 days 01:35:42.552000,Red Bull Racing,VER,1,TRUE,36:44.4,1,Bahrain Grand Prix
0 days 01:38:57.785000,1,0 days 00:01:37.651000,22,,,0 days 00:00:31.224000,0 days 00:00:42.548000,0 days 00:00:23.879000,0 days 01:37:51.358000,0 days 01:38:33.906000,0 days 01:38:57.785000,,235,281,292,FALSE,SOFT,8,FALSE,2,0 days 01:37:20.134000,Red Bull Racing,VER,1,TRUE,38:22.0,1,Bahrain Grand Prix
