Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName
0 days 01:04:15.961000,VER,1,0 days 00:01:39.019000,1.0,1.0,0 days 00:21:57.509000,,,0 days 00:00:42.414000,0 days 00:00:23.842000,,0 days 01:03:52.119000,0 days 01:04:16.010000,232.0,231.0,278.0,252.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:36.652000,,2,1.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:05:53.935000,VER,1,0 days 00:01:37.974000,2.0,1.0,,,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,0 days 01:04:47.303000,0 days 01:05:29.807000,0 days 01:05:53.935000,227.0,238.0,278.0,288.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:04:15.961000,,2,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:07:31.941000,VER,1,0 days 00:01:38.006000,3.0,1.0,,,0 days 00:00:31.388000,0 days 00:00:42.469000,0 days 00:00:24.149000,0 days 01:06:25.323000,0 days 01:07:07.792000,0 days 01:07:31.941000,,238.0,278.0,287.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:05:53.935000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:09:09.917000,VER,1,0 days 00:01:37.976000,4.0,1.0,,,0 days 00:00:31.271000,0 days 00:00:42.642000,0 days 00:00:24.063000,0 days 01:08:03.212000,0 days 01:08:45.854000,0 days 01:09:09.917000,228.0,238.0,278.0,289.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:07:31.941000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:10:47.952000,VER,1,0 days 00:01:38.035000,5.0,1.0,,,0 days 00:00:31.244000,0 days 00:00:42.724000,0 days 00:00:24.067000,0 days 01:09:41.161000,0 days 01:10:23.885000,0 days 01:10:47.952000,,239.0,278.0,290.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:09:09.917000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:12:25.938000,VER,1,0 days 00:01:37.986000,6.0,1.0,,,0 days 00:00:31.341000,0 days 00:00:42.632000,0 days 00:00:24.013000,0 days 01:11:19.293000,0 days 01:12:01.925000,0 days 01:12:25.938000,229.0,239.0,279.0,291.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:10:47.952000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:14:03.959000,VER,1,0 days 00:01:38.021000,7.0,1.0,,,0 days 00:00:31.290000,0 days 00:00:42.763000,0 days 00:00:23.968000,0 days 01:12:57.228000,0 days 01:13:39.991000,0 days 01:14:03.959000,230.0,239.0,279.0,293.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:12:25.938000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:15:42.113000,VER,1,0 days 00:01:38.154000,8.0,1.0,,,0 days 00:00:31.291000,0 days 00:00:42.833000,0 days 00:00:24.030000,0 days 01:14:35.250000,0 days 01:15:18.083000,0 days 01:15:42.113000,,240.0,279.0,,False,SOFT,11.0,False,Red Bull Racing,0 days 01:14:03.959000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:17:20.391000,VER,1,0 days 00:01:38.278000,9.0,1.0,,,0 days 00:00:31.336000,0 days 00:00:42.823000,0 days 00:00:24.119000,0 days 01:16:13.449000,0 days 01:16:56.272000,0 days 01:17:20.391000,229.0,242.0,279.0,,False,SOFT,12.0,False,Red Bull Racing,0 days 01:15:42.113000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:18:58.760000,VER,1,0 days 00:01:38.369000,10.0,1.0,,,0 days 00:00:31.361000,0 days 00:00:42.884000,0 days 00:00:24.124000,0 days 01:17:51.752000,0 days 01:18:34.636000,0 days 01:18:58.760000,230.0,242.0,279.0,,False,SOFT,13.0,False,Red Bull Racing,0 days 01:17:20.391000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:20:37.243000,VER,1,0 days 00:01:38.483000,11.0,1.0,,,0 days 00:00:31.342000,0 days 00:00:42.978000,0 days 00:00:24.163000,0 days 01:19:30.102000,0 days 01:20:13.080000,0 days 01:20:37.243000,,239.0,278.0,292.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:18:58.760000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:22:15.834000,VER,1,0 days 00:01:38.591000,12.0,1.0,,,0 days 00:00:31.408000,0 days 00:00:42.951000,0 days 00:00:24.232000,0 days 01:21:08.651000,0 days 01:21:51.602000,0 days 01:22:15.834000,231.0,241.0,278.0,294.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:20:37.243000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:23:54.316000,VER,1,0 days 00:01:38.482000,13.0,1.0,,,0 days 00:00:31.389000,0 days 00:00:42.907000,0 days 00:00:24.186000,0 days 01:22:47.223000,0 days 01:23:30.130000,0 days 01:23:54.316000,230.0,241.0,278.0,292.0,False,SOFT,16.0,False,Red Bull Racing,0 days 01:22:15.834000,,1,1.0,False,,False,True,1,Bahrain Grand Prix
0 days 01:25:35.611000,VER,1,0 days 00:01:41.295000,14.0,1.0,,0 days 01:25:33.830000,0 days 00:00:31.427000,0 days 00:00:42.876000,0 days 00:00:26.992000,0 days 01:24:25.743000,0 days 01:25:08.619000,0 days 01:25:35.611000,229.0,241.0,,,False,SOFT,17.0,False,Red Bull Racing,0 days 01:23:54.316000,,1,1.0,False,,False,False,1,Bahrain Grand Prix
