Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 01:03:56.437000,NOR,1,,1.0,1.0,,,False,MEDIUM,1.0,True,McLaren,1,6.0,False,1,Australian Grand Prix,True,C4,False,,,,,,,
0 days 01:05:23.781000,NOR,1,87.344,2.0,1.0,,,True,MEDIUM,2.0,True,McLaren,1,6.0,True,1,Australian Grand Prix,True,C4,True,2.469,2.909,5.253,6.399,0.012,0.014,87.401
0 days 01:06:50.644000,NOR,1,86.863,3.0,1.0,,,True,MEDIUM,3.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,1.988,2.342,4.772,5.813,0.148,0.171,86.977
0 days 01:08:16.501000,NOR,1,85.857,4.0,1.0,,,True,MEDIUM,4.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.982,1.157,3.766,4.588,-0.272,-0.316,86.028
0 days 01:09:42.074000,NOR,1,85.573,5.0,1.0,,,True,MEDIUM,5.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.698,0.822,3.482,4.242,-0.995,-1.149,85.801
0 days 01:11:07.110000,NOR,1,85.036,6.0,1.0,,,True,MEDIUM,6.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.161,0.19,2.945,3.587,-0.943,-1.097,85.32
0 days 01:12:32.088000,NOR,1,84.978,7.0,1.0,,,True,MEDIUM,7.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.103,0.121,2.887,3.517,-0.436,-0.51,85.319
0 days 01:13:57.387000,NOR,1,85.299,8.0,1.0,,,False,MEDIUM,8.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.424,0.5,3.208,3.908,-0.153,-0.179,85.697
0 days 01:15:23.026000,NOR,1,85.639,9.0,1.0,,,False,MEDIUM,9.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.764,0.9,3.548,4.322,0.0,0.0,86.094
0 days 01:16:48.321000,NOR,1,85.295,10.0,1.0,,,False,MEDIUM,10.0,True,McLaren,1,7.0,True,1,Australian Grand Prix,True,C4,True,0.42,0.495,3.204,3.903,-0.337,-0.394,85.807
