Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName
0 days 01:13:00.002000,VER,1,0 days 00:01:59.392000,1.0,1.0,,,,0 days 00:00:20.705000,0 days 00:00:55.250000,,0 days 01:12:04.853000,0 days 01:13:00.058000,249.0,292.0,247.0,215.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:11:00.355000,,124,5.0,False,,False,False,1,Australian Grand Prix
0 days 01:15:49.358000,VER,1,,2.0,1.0,,0 days 01:15:38.205000,0 days 00:00:58.141000,0 days 00:00:37.976000,0 days 00:01:13.205000,0 days 01:13:58.233000,0 days 01:14:36.257000,0 days 01:15:49.446000,66.0,222.0,,210.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:13:00.002000,,4,2.0,False,,False,False,1,Australian Grand Prix
0 days 01:18:31.526000,VER,1,,3.0,2.0,0 days 01:15:51.658000,0 days 01:18:20.223000,0 days 00:00:56.230000,0 days 00:00:33.683000,0 days 00:01:12.232000,0 days 01:16:45.667000,0 days 01:17:19.489000,0 days 01:18:31.643000,78.0,203.0,,180.0,False,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 01:15:49.358000,,4,2.0,False,,False,False,1,Australian Grand Prix
0 days 01:21:07.226000,VER,1,,4.0,3.0,0 days 01:18:34.029000,0 days 01:20:56.543000,0 days 00:00:54.351000,0 days 00:00:32.712000,0 days 00:01:08.712000,0 days 01:19:26.041000,0 days 01:19:58.680000,0 days 01:21:07.378000,103.0,240.0,,187.0,False,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 01:18:31.526000,,4,2.0,False,,False,False,1,Australian Grand Prix
0 days 01:23:30.835000,VER,1,0 days 00:02:23.609000,5.0,4.0,0 days 01:21:09.534000,,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000,0 days 01:22:00.795000,0 days 01:22:33.422000,0 days 01:23:30.891000,79.0,130.0,237.0,194.0,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 01:21:07.226000,,4,2.0,False,,False,False,1,Australian Grand Prix
0 days 01:25:50.489000,VER,1,0 days 00:02:19.654000,6.0,4.0,,,0 days 00:00:47.887000,0 days 00:00:33.228000,0 days 00:00:58.539000,0 days 01:24:18.778000,0 days 01:24:52.006000,0 days 01:25:50.545000,158.0,183.0,208.0,127.0,True,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 01:23:30.835000,,4,2.0,False,,False,False,1,Australian Grand Prix
0 days 01:28:06.936000,VER,1,0 days 00:02:16.447000,7.0,4.0,,,0 days 00:00:45.898000,0 days 00:00:29.735000,0 days 00:01:00.814000,0 days 01:26:36.443000,0 days 01:27:06.178000,0 days 01:28:06.992000,174.0,197.0,277.0,208.0,True,INTERMEDIATE,7.0,False,Red Bull Racing,0 days 01:25:50.489000,,41,2.0,False,,False,False,1,Australian Grand Prix
0 days 01:29:43.766000,VER,1,0 days 00:01:36.830000,8.0,4.0,,,0 days 00:00:35.249000,0 days 00:00:20.145000,0 days 00:00:41.436000,0 days 01:28:42.241000,0 days 01:29:02.386000,0 days 01:29:43.822000,257.0,297.0,278.0,245.0,True,INTERMEDIATE,8.0,False,Red Bull Racing,0 days 01:28:06.936000,,1,2.0,False,,False,True,1,Australian Grand Prix
0 days 01:31:18.081000,VER,1,0 days 00:01:34.315000,9.0,4.0,,,0 days 00:00:33.850000,0 days 00:00:19.608000,0 days 00:00:40.857000,0 days 01:30:17.672000,0 days 01:30:37.280000,0 days 01:31:18.137000,,301.0,279.0,258.0,True,INTERMEDIATE,9.0,False,Red Bull Racing,0 days 01:29:43.766000,,1,2.0,False,,False,True,1,Australian Grand Prix
0 days 01:32:50.731000,VER,1,0 days 00:01:32.650000,10.0,4.0,,,0 days 00:00:33.117000,0 days 00:00:19.414000,0 days 00:00:40.119000,0 days 01:31:51.254000,0 days 01:32:10.668000,0 days 01:32:50.787000,259.0,302.0,278.0,263.0,True,INTERMEDIATE,10.0,False,Red Bull Racing,0 days 01:31:18.081000,,1,2.0,False,,False,True,1,Australian Grand Prix
