Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 00:48:24.706000,NOR,1,,1.0,1.0,,,False,MEDIUM,5.0,False,McLaren,12,4.0,False,2,Chinese Grand Prix,True,C3,False,,,,,,,
0 days 00:50:02.796000,NOR,1,98.09,2.0,1.0,,,True,MEDIUM,6.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C3,True,-0.988,-0.997,3.337,3.522,-1.345,-1.353,98.148
0 days 00:51:40.743000,NOR,1,97.947,3.0,1.0,,,True,MEDIUM,7.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C3,True,-1.131,-1.142,3.194,3.371,-1.315,-1.325,98.063
0 days 00:53:18.765000,NOR,1,98.022,4.0,1.0,,,False,MEDIUM,8.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C3,True,-1.056,-1.066,3.269,3.45,-0.968,-0.978,98.196
0 days 00:54:56.285000,NOR,1,97.52,5.0,1.0,,,True,MEDIUM,9.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C3,True,-1.558,-1.572,2.767,2.92,-1.222,-1.238,97.752
0 days 00:56:33.654000,NOR,1,97.369,6.0,1.0,,,True,MEDIUM,10.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C3,True,-1.709,-1.725,2.616,2.761,-1.309,-1.327,97.658
0 days 00:58:12.293000,NOR,1,98.639,7.0,1.0,,,False,MEDIUM,11.0,False,McLaren,1,5.0,True,2,Chinese Grand Prix,True,C3,True,-0.439,-0.443,3.886,4.101,-0.573,-0.578,98.986
0 days 00:59:49.648000,NOR,1,97.355,8.0,1.0,,,True,MEDIUM,12.0,False,McLaren,1,5.0,True,2,Chinese Grand Prix,True,C3,True,-1.723,-1.739,2.602,2.746,-1.885,-1.899,97.76
0 days 01:01:27.190000,NOR,1,97.542,9.0,1.0,,,False,MEDIUM,13.0,False,McLaren,1,5.0,True,2,Chinese Grand Prix,True,C3,True,-1.536,-1.55,2.789,2.943,-1.757,-1.769,98.005
0 days 01:03:05.039000,NOR,1,97.849,10.0,1.0,,,False,MEDIUM,14.0,False,McLaren,1,5.0,True,2,Chinese Grand Prix,True,C3,True,-1.229,-1.24,3.096,3.267,-1.871,-1.876,98.37
0 days 01:04:43.021000,NOR,1,97.982,11.0,1.0,,,False,MEDIUM,15.0,False,McLaren,1,5.0,True,2,Chinese Grand Prix,True,C3,True,-1.096,-1.106,3.229,3.408,-2.228,-2.223,98.561
0 days 01:06:21.096000,NOR,1,98.075,12.0,1.0,,,False,MEDIUM,16.0,False,McLaren,1,5.0,True,2,Chinese Grand Prix,True,C3,True,-1.003,-1.012,3.322,3.506,-1.591,-1.596,98.712
0 days 01:08:10.434000,NOR,1,109.338,13.0,1.0,,0 days 01:08:08.812000,False,MEDIUM,17.0,False,McLaren,124,5.0,False,2,Chinese Grand Prix,True,C3,False,10.26,10.355,14.585,15.393,-5.676,-4.935,110.033
0 days 01:10:46.109000,NOR,1,,14.0,2.0,0 days 01:08:31.262000,,False,SOFT,4.0,False,McLaren,4,3.0,False,2,Chinese Grand Prix,True,C4,False,,,,,,,
0 days 01:13:14.080000,NOR,1,147.971,15.0,2.0,,,False,SOFT,5.0,False,McLaren,4,3.0,False,2,Chinese Grand Prix,True,C4,False,48.893,49.348,53.218,56.165,1.116,0.76,148.782
0 days 01:15:36.304000,NOR,1,142.224,16.0,2.0,,,False,SOFT,6.0,False,McLaren,41,3.0,False,2,Chinese Grand Prix,True,C4,False,43.146,43.548,47.471,50.1,4.951,3.607,143.092
0 days 01:17:12.870000,NOR,1,96.566,17.0,2.0,,,True,SOFT,7.0,False,McLaren,1,3.0,True,2,Chinese Grand Prix,True,C4,True,-2.512,-2.535,1.813,1.913,-1.783,-1.813,97.492
0 days 01:18:49.394000,NOR,1,96.524,18.0,2.0,,,True,SOFT,8.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C4,True,-2.554,-2.578,1.771,1.869,-0.839,-0.862,97.508
0 days 01:20:25.102000,NOR,1,95.708,19.0,2.0,,,True,SOFT,9.0,False,McLaren,1,4.0,True,2,Chinese Grand Prix,True,C4,True,-3.37,-3.401,0.955,1.008,-2.174,-2.221,96.75
0 days 00:48:25.726000,GAS,10,,1.0,1.0,,,False,MEDIUM,7.0,False,Alpine,12,6.0,False,2,Chinese Grand Prix,True,C3,False,,,,,,,
0 days 00:50:06.164000,GAS,10,100.438,2.0,1.0,,,True,MEDIUM,8.0,False,Alpine,1,8.0,True,2,Chinese Grand Prix,True,C3,True,1.36,1.373,5.685,6.0,1.003,1.009,100.496
0 days 00:51:45.531000,GAS,10,99.367,3.0,1.0,,,True,MEDIUM,9.0,False,Alpine,1,9.0,True,2,Chinese Grand Prix,True,C3,True,0.289,0.292,4.614,4.87,0.105,0.106,99.483
0 days 00:53:24.628000,GAS,10,99.097,4.0,1.0,,,True,MEDIUM,10.0,False,Alpine,1,8.0,True,2,Chinese Grand Prix,True,C3,True,0.019,0.019,4.344,4.585,0.107,0.108,99.271
0 days 00:55:04.732000,GAS,10,100.104,5.0,1.0,,,False,MEDIUM,11.0,False,Alpine,1,10.0,True,2,Chinese Grand Prix,True,C3,True,1.026,1.036,5.351,5.647,1.362,1.379,100.336
0 days 00:56:43.473000,GAS,10,98.741,6.0,1.0,,,True,MEDIUM,12.0,False,Alpine,1,10.0,True,2,Chinese Grand Prix,True,C3,True,-0.337,-0.34,3.988,4.209,0.063,0.064,99.03
