Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName
0 days 00:46:50.347000,HAM,44,,1.0,1.0,,,,0 days 00:00:28.492000,0 days 00:00:41.109000,,0 days 00:46:09.327000,0 days 00:46:50.556000,280.0,273.0,258.0,309.0,False,MEDIUM,7.0,False,Ferrari,0 days 00:45:13.457000,,1,1.0,False,,False,False,2,Chinese Grand Prix
0 days 00:48:25.746000,HAM,44,0 days 00:01:35.399000,2.0,1.0,,,0 days 00:00:25.591000,0 days 00:00:28.731000,0 days 00:00:41.077000,0 days 00:47:16.014000,0 days 00:47:44.745000,0 days 00:48:25.822000,,275.0,260.0,312.0,True,MEDIUM,8.0,False,Ferrari,0 days 00:46:50.347000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:50:01.897000,HAM,44,0 days 00:01:36.151000,3.0,1.0,,,0 days 00:00:25.832000,0 days 00:00:29.044000,0 days 00:00:41.275000,0 days 00:48:51.654000,0 days 00:49:20.698000,0 days 00:50:01.973000,276.0,271.0,262.0,310.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:48:25.746000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:51:37.961000,HAM,44,0 days 00:01:36.064000,4.0,1.0,,,0 days 00:00:25.776000,0 days 00:00:29.077000,0 days 00:00:41.211000,0 days 00:50:27.749000,0 days 00:50:56.826000,0 days 00:51:38.037000,278.0,271.0,261.0,309.0,False,MEDIUM,10.0,False,Ferrari,0 days 00:50:01.897000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:53:14.645000,HAM,44,0 days 00:01:36.684000,5.0,1.0,,,0 days 00:00:25.952000,0 days 00:00:29.259000,0 days 00:00:41.473000,0 days 00:52:03.989000,0 days 00:52:33.248000,0 days 00:53:14.721000,276.0,270.0,261.0,309.0,False,MEDIUM,11.0,False,Ferrari,0 days 00:51:37.961000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:54:50.994000,HAM,44,0 days 00:01:36.349000,6.0,1.0,,,0 days 00:00:25.900000,0 days 00:00:28.936000,0 days 00:00:41.513000,0 days 00:53:40.621000,0 days 00:54:09.557000,0 days 00:54:51.070000,281.0,275.0,261.0,313.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:53:14.645000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:56:27.611000,HAM,44,0 days 00:01:36.617000,7.0,1.0,,,0 days 00:00:25.957000,0 days 00:00:29.346000,0 days 00:00:41.314000,0 days 00:55:17.027000,0 days 00:55:46.373000,0 days 00:56:27.687000,279.0,273.0,263.0,310.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:54:50.994000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:58:03.614000,HAM,44,0 days 00:01:36.003000,8.0,1.0,,,0 days 00:00:25.656000,0 days 00:00:29.046000,0 days 00:00:41.301000,0 days 00:56:53.343000,0 days 00:57:22.389000,0 days 00:58:03.690000,283.0,277.0,262.0,312.0,False,MEDIUM,14.0,False,Ferrari,0 days 00:56:27.611000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 00:59:40.555000,HAM,44,0 days 00:01:36.941000,9.0,1.0,,,0 days 00:00:26.129000,0 days 00:00:29.158000,0 days 00:00:41.654000,0 days 00:58:29.819000,0 days 00:58:58.977000,0 days 00:59:40.631000,281.0,274.0,261.0,312.0,False,MEDIUM,15.0,False,Ferrari,0 days 00:58:03.614000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 01:01:17.427000,HAM,44,0 days 00:01:36.872000,10.0,1.0,,,0 days 00:00:25.914000,0 days 00:00:29.190000,0 days 00:00:41.768000,0 days 01:00:06.545000,0 days 01:00:35.735000,0 days 01:01:17.503000,280.0,273.0,262.0,313.0,False,MEDIUM,16.0,False,Ferrari,0 days 00:59:40.555000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 01:02:54.129000,HAM,44,0 days 00:01:36.702000,11.0,1.0,,,0 days 00:00:25.995000,0 days 00:00:29.070000,0 days 00:00:41.637000,0 days 01:01:43.498000,0 days 01:02:12.568000,0 days 01:02:54.205000,283.0,274.0,262.0,314.0,False,MEDIUM,17.0,False,Ferrari,0 days 01:01:17.427000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 01:04:31.055000,HAM,44,0 days 00:01:36.926000,12.0,1.0,,,0 days 00:00:26,0 days 00:00:29.191000,0 days 00:00:41.735000,0 days 01:03:20.205000,0 days 01:03:49.396000,0 days 01:04:31.131000,280.0,273.0,262.0,309.0,False,MEDIUM,18.0,False,Ferrari,0 days 01:02:54.129000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 01:06:08.421000,HAM,44,0 days 00:01:37.366000,13.0,1.0,,,0 days 00:00:26.121000,0 days 00:00:29.446000,0 days 00:00:41.799000,0 days 01:04:57.252000,0 days 01:05:26.698000,0 days 01:06:08.497000,282.0,276.0,263.0,312.0,False,MEDIUM,19.0,False,Ferrari,0 days 01:04:31.055000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 01:07:45.928000,HAM,44,0 days 00:01:37.507000,14.0,1.0,,,0 days 00:00:26.107000,0 days 00:00:29.521000,0 days 00:00:41.879000,0 days 01:06:34.604000,0 days 01:07:04.125000,0 days 01:07:46.004000,283.0,275.0,263.0,314.0,False,MEDIUM,20.0,False,Ferrari,0 days 01:06:08.421000,,1,1.0,False,,False,True,2,Chinese Grand Prix
0 days 01:09:23.958000,HAM,44,0 days 00:01:38.030000,15.0,1.0,,,0 days 00:00:26.250000,0 days 00:00:29.575000,0 days 00:00:42.205000,0 days 01:08:12.254000,0 days 01:08:41.829000,0 days 01:09:24.034000,282.0,273.0,262.0,311.0,False,MEDIUM,21.0,False,Ferrari,0 days 01:07:45.928000,,1,1.0,False,,False,True,2,Chinese Grand Prix
