Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName
0 days 00:48:24.706000,NOR,1,,1.0,1.0,,,,0 days 00:00:31.201000,0 days 00:00:43.008000,,0 days 00:47:41.867000,0 days 00:48:24.938000,291.0,275.0,274.0,328.0,False,MEDIUM,5.0,False,McLaren,0 days 00:46:41.459000,,12,4.0,False,,False,False,2,Chinese Grand Prix
0 days 00:50:02.796000,NOR,1,0 days 00:01:38.090000,2.0,1.0,,,0 days 00:00:25.842000,0 days 00:00:29.806000,0 days 00:00:42.442000,0 days 00:48:50.667000,0 days 00:49:20.473000,0 days 00:50:02.915000,281.0,269.0,272.0,311.0,True,MEDIUM,6.0,False,McLaren,0 days 00:48:24.706000,,1,4.0,False,,False,True,2,Chinese Grand Prix
0 days 00:51:40.743000,NOR,1,0 days 00:01:37.947000,3.0,1.0,,,0 days 00:00:25.835000,0 days 00:00:29.630000,0 days 00:00:42.482000,0 days 00:50:28.750000,0 days 00:50:58.380000,0 days 00:51:40.862000,280.0,269.0,268.0,308.0,True,MEDIUM,7.0,False,McLaren,0 days 00:50:02.796000,,1,4.0,False,,False,True,2,Chinese Grand Prix
0 days 00:53:18.765000,NOR,1,0 days 00:01:38.022000,4.0,1.0,,,0 days 00:00:25.829000,0 days 00:00:29.566000,0 days 00:00:42.627000,0 days 00:52:06.691000,0 days 00:52:36.257000,0 days 00:53:18.884000,279.0,269.0,271.0,306.0,False,MEDIUM,8.0,False,McLaren,0 days 00:51:40.743000,,1,4.0,False,,False,True,2,Chinese Grand Prix
0 days 00:54:56.285000,NOR,1,0 days 00:01:37.520000,5.0,1.0,,,0 days 00:00:25.663000,0 days 00:00:29.547000,0 days 00:00:42.310000,0 days 00:53:44.547000,0 days 00:54:14.094000,0 days 00:54:56.404000,280.0,268.0,273.0,304.0,True,MEDIUM,9.0,False,McLaren,0 days 00:53:18.765000,,1,4.0,False,,False,True,2,Chinese Grand Prix
0 days 00:56:33.654000,NOR,1,0 days 00:01:37.369000,6.0,1.0,,,0 days 00:00:25.494000,0 days 00:00:29.506000,0 days 00:00:42.369000,0 days 00:55:21.898000,0 days 00:55:51.404000,0 days 00:56:33.773000,281.0,270.0,273.0,308.0,True,MEDIUM,10.0,False,McLaren,0 days 00:54:56.285000,,1,4.0,False,,False,True,2,Chinese Grand Prix
0 days 00:58:12.293000,NOR,1,0 days 00:01:38.639000,7.0,1.0,,,0 days 00:00:25.675000,0 days 00:00:29.542000,0 days 00:00:43.422000,0 days 00:56:59.448000,0 days 00:57:28.990000,0 days 00:58:12.412000,280.0,267.0,273.0,304.0,False,MEDIUM,11.0,False,McLaren,0 days 00:56:33.654000,,1,5.0,False,,False,True,2,Chinese Grand Prix
0 days 00:59:49.648000,NOR,1,0 days 00:01:37.355000,8.0,1.0,,,0 days 00:00:25.612000,0 days 00:00:29.551000,0 days 00:00:42.192000,0 days 00:58:38.024000,0 days 00:59:07.575000,0 days 00:59:49.767000,285.0,273.0,272.0,315.0,True,MEDIUM,12.0,False,McLaren,0 days 00:58:12.293000,,1,5.0,False,,False,True,2,Chinese Grand Prix
0 days 01:01:27.190000,NOR,1,0 days 00:01:37.542000,9.0,1.0,,,0 days 00:00:25.646000,0 days 00:00:29.589000,0 days 00:00:42.307000,0 days 01:00:15.413000,0 days 01:00:45.002000,0 days 01:01:27.309000,282.0,268.0,274.0,310.0,False,MEDIUM,13.0,False,McLaren,0 days 00:59:49.648000,,1,5.0,False,,False,True,2,Chinese Grand Prix
0 days 01:03:05.039000,NOR,1,0 days 00:01:37.849000,10.0,1.0,,,0 days 00:00:25.781000,0 days 00:00:29.704000,0 days 00:00:42.364000,0 days 01:01:53.090000,0 days 01:02:22.794000,0 days 01:03:05.158000,282.0,269.0,271.0,311.0,False,MEDIUM,14.0,False,McLaren,0 days 01:01:27.190000,,1,5.0,False,,False,True,2,Chinese Grand Prix
